,seed,sampSize,dim,knn,title,data,FP,RAVK1,RAVK2,Proposed,trueInfo
6,4.0,700.0,1.0,7.0,income data,income,2.07551373357846,-0.15669263660233645,-0.024251016233352313,0.024545319542790236,
7,4.0,800.0,1.0,7.0,income data,income,2.131900410378421,-0.13500448501515735,-0.011876976666998584,0.03159230063578392,
8,4.0,900.0,1.0,7.0,income data,income,2.2307175827800374,-0.110285916648002,-0.009425156015128399,0.03024125485561889,
9,4.0,1000.0,1.0,7.0,income data,income,2.239604399918372,-0.11509538074055378,-0.011887452616433355,0.02380474347400665,
0,5.0,100.0,1.0,7.0,income data,income,0.6904562182556819,-0.5715858960897062,-0.07009248270780728,0.038306499159561996,
1,5.0,200.0,1.0,7.0,income data,income,1.025725877218525,-0.41510246269956375,-0.03529929884190076,0.058688950827495215,
2,5.0,300.0,1.0,7.0,income data,income,1.4115034299834042,-0.4393903324248219,-0.02029209184643809,0.05355112721235852,
3,5.0,400.0,1.0,7.0,income data,income,1.7661766580893263,-0.24033788512381474,-0.02017629070637491,0.05319457900055168,
4,5.0,500.0,1.0,7.0,income data,income,1.936169227921129,-0.2113705391970413,-0.009462497214850435,0.05407759836950951,
5,5.0,600.0,1.0,7.0,income data,income,2.0875535426574254,-0.1231170089232913,-0.021910413415058217,0.0364981302681009,
6,5.0,700.0,1.0,7.0,income data,income,2.1508575936511347,-0.09222627743591147,-0.010092100396556215,0.04132446530382535,
7,5.0,800.0,1.0,7.0,income data,income,2.136777310076642,-0.09851796613792581,-0.006984573689214384,0.03782686710680691,
8,5.0,900.0,1.0,7.0,income data,income,2.1567556607358487,-0.08707850906020437,0.0061261550947938155,0.046183991518969,
9,5.0,1000.0,1.0,7.0,income data,income,2.184602663474876,-0.07286556202121777,0.0010627991889685972,0.03746560003160461,
0,6.0,100.0,1.0,7.0,income data,income,0.7983728510048962,-0.3063773708144445,-0.00022212124346886685,0.12913031100273006,
1,6.0,200.0,1.0,7.0,income data,income,0.9092257433928822,-0.5312540271064377,-0.02768685467037252,0.05879430068881289,
2,6.0,300.0,1.0,7.0,income data,income,1.458362081602609,-0.3402177153595672,-0.009068419164954798,0.07301260962851046,
3,6.0,400.0,1.0,7.0,income data,income,1.6621636755418834,-0.3304814040933202,-0.04339905957713531,0.023960576464860293,
4,6.0,500.0,1.0,7.0,income data,income,1.9652527193871652,-0.1798020663527846,-0.039207299388618756,0.026560391978596512,
5,6.0,600.0,1.0,7.0,income data,income,2.143035989778298,-0.14757288866428572,-0.03615005729633464,0.021883336379542265,
6,6.0,700.0,1.0,7.0,income data,income,2.1812235055356903,-0.09617017253814097,-0.03652117942098388,0.01602020707004033,
7,6.0,800.0,1.0,7.0,income data,income,2.21838802495643,-0.06618558303836364,-0.01964512850838195,0.026964244717478096,
8,6.0,900.0,1.0,7.0,income data,income,2.2319330322109856,-0.078716202853039,-0.009509688455605828,0.03172991096292749,
9,6.0,1000.0,1.0,7.0,income data,income,2.2258181570191193,-0.08584417724000572,-0.008185262483849716,0.028861027265981814,
0,7.0,100.0,1.0,7.0,income data,income,0.6198202645206085,-0.7023098864972548,-0.04988633102127875,0.06034969437492381,
1,7.0,200.0,1.0,7.0,income data,income,0.8651826532391108,-0.48632515931264547,-0.0008573779506152146,0.09396648179331375,
2,7.0,300.0,1.0,7.0,income data,income,1.4180208415389763,-0.3341764998755384,0.022064468354187138,0.10685399916449934,
3,7.0,400.0,1.0,7.0,income data,income,1.734779319587873,-0.2469655291008535,0.01205372588297552,0.08430656000326327,
4,7.0,500.0,1.0,7.0,income data,income,1.8126463071782553,-0.19138483399877468,-0.0018929699643414324,0.06194161926559962,
5,7.0,600.0,1.0,7.0,income data,income,2.0167264249033696,-0.12508406904425304,0.0003059877663836093,0.05675297532319079,
6,7.0,700.0,1.0,7.0,income data,income,2.096878955910042,-0.10194219980454759,-0.002647735141704307,0.0479773259546799,
7,7.0,800.0,1.0,7.0,income data,income,2.198424077960658,-0.06777189330884563,-0.0049328744321421505,0.040755800529942675,
8,7.0,900.0,1.0,7.0,income data,income,2.2042695865161,-0.06767822637842959,0.0020550951328850015,0.04285518772134385,
9,7.0,1000.0,1.0,7.0,income data,income,2.209069627275731,-0.07576277800102972,-0.0012563952485109642,0.03555420620415374,
0,8.0,100.0,1.0,7.0,income data,income,0.7548244280330918,-0.5662561822658597,-0.03784431886992324,0.07434075532710555,
1,8.0,200.0,1.0,7.0,income data,income,1.0577578235083205,-0.4551081631979795,-0.06406202378002825,0.024699591373151426,
2,8.0,300.0,1.0,7.0,income data,income,1.4889146365858896,-0.3051229107664874,-0.019137961214385126,0.06242413624721244,
3,8.0,400.0,1.0,7.0,income data,income,1.7036605153214355,-0.2953610237178653,-0.02928459392518325,0.04042542666559543,
4,8.0,500.0,1.0,7.0,income data,income,1.8692377529969182,-0.25700012427320557,-0.029160889162236307,0.031632384850319294,
5,8.0,600.0,1.0,7.0,income data,income,2.0253832074832285,-0.11800834479156978,-0.007254493471342028,0.05031727483415796,
6,8.0,700.0,1.0,7.0,income data,income,2.0417155024344673,-0.10312481861476817,0.015919544376133975,0.06540487068777955,
7,8.0,800.0,1.0,7.0,income data,income,2.0543885210028194,-0.12114415555190312,0.01248888889426965,0.05585398485755568,
8,8.0,900.0,1.0,7.0,income data,income,2.0675807483946365,-0.11602744741656086,0.017455297734397187,0.05609524582912655,
9,8.0,1000.0,1.0,7.0,income data,income,2.158559270116125,-0.09920091342261916,0.0011409042689234888,0.0371366596014544,
0,9.0,100.0,1.0,7.0,income data,income,0.9877071727015909,-0.7639985707577464,-0.004835406986920065,0.10250332118043236,
1,9.0,200.0,1.0,7.0,income data,income,1.2421263926126127,-0.3199750968753087,-0.04889042476225109,0.05156037647744631,
2,9.0,300.0,1.0,7.0,income data,income,1.4461779946436453,-0.3288453614538738,-0.04013580771610082,0.04351360118120734,
3,9.0,400.0,1.0,7.0,income data,income,1.6464734951454536,-0.24184172368845824,-0.038359892818133096,0.03858863834263011,
4,9.0,500.0,1.0,7.0,income data,income,1.9507437374981111,-0.15396061443569045,-0.035915332675168346,0.03237838719144119,
5,9.0,600.0,1.0,7.0,income data,income,1.989808806982733,-0.15325921653519553,-0.017692288041596217,0.04062355775062989,
6,9.0,700.0,1.0,7.0,income data,income,2.143080672636339,-0.11186236312744213,-0.012457388073607295,0.03910563475308305,
7,9.0,800.0,1.0,7.0,income data,income,2.1813439862794755,-0.09122461275054831,-0.007883130349043069,0.03771323134967831,
8,9.0,900.0,1.0,7.0,income data,income,2.1942621032885667,-0.09197474241452441,-0.0030525756806722695,0.03737294883096407,
9,9.0,1000.0,1.0,7.0,income data,income,2.213091993382888,-0.09009543134536639,-0.0015220493846564143,0.03515371377152428,
0,10.0,100.0,1.0,7.0,income data,income,0.6493833160511567,-0.7341511238558515,-0.08057037902792848,0.022764686112197775,
1,10.0,200.0,1.0,7.0,income data,income,1.1138631864187765,-0.4593434805481602,-0.08142502268068481,0.01077328217457562,
2,10.0,300.0,1.0,7.0,income data,income,1.3410024265428007,-0.4547855452799258,-0.046683668168544766,0.030160836928741133,
3,10.0,400.0,1.0,7.0,income data,income,1.78758125813815,-0.2434470625724081,-0.04388410057886606,0.0332301919550815,
4,10.0,500.0,1.0,7.0,income data,income,2.0140257327128297,-0.18911852059128897,-0.03839595024679309,0.02797559957280466,
5,10.0,600.0,1.0,7.0,income data,income,2.0607461949374004,-0.1620964279750237,-0.031012196397811824,0.024917678143120667,
6,10.0,700.0,1.0,7.0,income data,income,2.1375688189408404,-0.09861628396116942,-0.02295984023081693,0.0281196709714706,
7,10.0,800.0,1.0,7.0,income data,income,2.155615093297149,-0.09865299016237422,-0.014447873992449295,0.030843168295893165,
